instance=54,n=100,m=50,d=5,type=B1
BinType:1 cost=1063
	no=1, value=242
	no=2, value=111
	no=3, value=410
	no=4, value=146
	no=5, value=154
BinType:2 cost=1064
	no=1, value=179
	no=2, value=165
	no=3, value=262
	no=4, value=324
	no=5, value=134
BinType:3 cost=1090
	no=1, value=251
	no=2, value=371
	no=3, value=170
	no=4, value=148
	no=5, value=150
BinType:4 cost=1127
	no=1, value=115
	no=2, value=287
	no=3, value=187
	no=4, value=386
	no=5, value=152
BinType:5 cost=1189
	no=1, value=138
	no=2, value=492
	no=3, value=303
	no=4, value=122
	no=5, value=134
BinType:6 cost=1200
	no=1, value=322
	no=2, value=134
	no=3, value=328
	no=4, value=168
	no=5, value=248
BinType:7 cost=1201
	no=1, value=206
	no=2, value=177
	no=3, value=218
	no=4, value=126
	no=5, value=474
BinType:8 cost=1212
	no=1, value=341
	no=2, value=199
	no=3, value=295
	no=4, value=257
	no=5, value=120
BinType:9 cost=1261
	no=1, value=182
	no=2, value=346
	no=3, value=315
	no=4, value=245
	no=5, value=173
BinType:10 cost=1265
	no=1, value=146
	no=2, value=467
	no=3, value=230
	no=4, value=252
	no=5, value=170
BinType:11 cost=1281
	no=1, value=105
	no=2, value=375
	no=3, value=144
	no=4, value=301
	no=5, value=356
BinType:12 cost=1320
	no=1, value=468
	no=2, value=152
	no=3, value=190
	no=4, value=236
	no=5, value=274
BinType:13 cost=1332
	no=1, value=282
	no=2, value=167
	no=3, value=292
	no=4, value=223
	no=5, value=368
BinType:14 cost=1344
	no=1, value=176
	no=2, value=231
	no=3, value=209
	no=4, value=383
	no=5, value=345
BinType:15 cost=1345
	no=1, value=361
	no=2, value=476
	no=3, value=210
	no=4, value=148
	no=5, value=150
BinType:16 cost=1358
	no=1, value=112
	no=2, value=349
	no=3, value=175
	no=4, value=296
	no=5, value=426
BinType:17 cost=1360
	no=1, value=226
	no=2, value=255
	no=3, value=278
	no=4, value=412
	no=5, value=189
BinType:18 cost=1374
	no=1, value=200
	no=2, value=186
	no=3, value=372
	no=4, value=332
	no=5, value=284
BinType:19 cost=1387
	no=1, value=352
	no=2, value=343
	no=3, value=154
	no=4, value=339
	no=5, value=199
BinType:20 cost=1422
	no=1, value=295
	no=2, value=165
	no=3, value=350
	no=4, value=370
	no=5, value=242
BinType:21 cost=1426
	no=1, value=271
	no=2, value=163
	no=3, value=402
	no=4, value=183
	no=5, value=407
BinType:22 cost=1445
	no=1, value=368
	no=2, value=275
	no=3, value=209
	no=4, value=171
	no=5, value=422
BinType:23 cost=1453
	no=1, value=396
	no=2, value=303
	no=3, value=406
	no=4, value=181
	no=5, value=167
BinType:24 cost=1454
	no=1, value=279
	no=2, value=129
	no=3, value=456
	no=4, value=120
	no=5, value=470
BinType:25 cost=1474
	no=1, value=335
	no=2, value=133
	no=3, value=338
	no=4, value=173
	no=5, value=495
BinType:26 cost=1475
	no=1, value=495
	no=2, value=238
	no=3, value=207
	no=4, value=378
	no=5, value=157
BinType:27 cost=1478
	no=1, value=295
	no=2, value=408
	no=3, value=401
	no=4, value=270
	no=5, value=104
BinType:28 cost=1486
	no=1, value=381
	no=2, value=339
	no=3, value=277
	no=4, value=286
	no=5, value=203
BinType:29 cost=1496
	no=1, value=355
	no=2, value=322
	no=3, value=405
	no=4, value=209
	no=5, value=205
BinType:30 cost=1500
	no=1, value=317
	no=2, value=457
	no=3, value=121
	no=4, value=363
	no=5, value=242
BinType:31 cost=1503
	no=1, value=367
	no=2, value=197
	no=3, value=256
	no=4, value=480
	no=5, value=203
BinType:32 cost=1510
	no=1, value=336
	no=2, value=185
	no=3, value=450
	no=4, value=277
	no=5, value=262
BinType:33 cost=1521
	no=1, value=264
	no=2, value=114
	no=3, value=343
	no=4, value=303
	no=5, value=497
BinType:34 cost=1529
	no=1, value=247
	no=2, value=151
	no=3, value=406
	no=4, value=310
	no=5, value=415
BinType:35 cost=1531
	no=1, value=182
	no=2, value=494
	no=3, value=208
	no=4, value=428
	no=5, value=219
BinType:36 cost=1537
	no=1, value=309
	no=2, value=278
	no=3, value=420
	no=4, value=198
	no=5, value=332
BinType:37 cost=1547
	no=1, value=410
	no=2, value=424
	no=3, value=341
	no=4, value=208
	no=5, value=164
BinType:38 cost=1598
	no=1, value=447
	no=2, value=189
	no=3, value=293
	no=4, value=285
	no=5, value=384
BinType:39 cost=1608
	no=1, value=305
	no=2, value=415
	no=3, value=309
	no=4, value=306
	no=5, value=273
BinType:40 cost=1661
	no=1, value=431
	no=2, value=438
	no=3, value=190
	no=4, value=326
	no=5, value=276
BinType:41 cost=1703
	no=1, value=317
	no=2, value=475
	no=3, value=428
	no=4, value=107
	no=5, value=376
BinType:42 cost=1711
	no=1, value=368
	no=2, value=246
	no=3, value=453
	no=4, value=462
	no=5, value=182
BinType:43 cost=1712
	no=1, value=390
	no=2, value=135
	no=3, value=397
	no=4, value=445
	no=5, value=345
BinType:44 cost=1724
	no=1, value=455
	no=2, value=313
	no=3, value=224
	no=4, value=242
	no=5, value=490
BinType:45 cost=1744
	no=1, value=386
	no=2, value=293
	no=3, value=371
	no=4, value=449
	no=5, value=245
BinType:46 cost=1805
	no=1, value=483
	no=2, value=131
	no=3, value=344
	no=4, value=387
	no=5, value=460
BinType:47 cost=1888
	no=1, value=470
	no=2, value=429
	no=3, value=185
	no=4, value=372
	no=5, value=432
BinType:48 cost=1902
	no=1, value=488
	no=2, value=189
	no=3, value=351
	no=4, value=451
	no=5, value=423
BinType:49 cost=1994
	no=1, value=309
	no=2, value=379
	no=3, value=493
