instance=47,n=50,m=20,d=5,type=B4
BinType:1 cost=934
	no=1, value=251
	no=2, value=371
	no=3, value=170
	no=4, value=148
	no=5, value=150
BinType:2 cost=1003
	no=1, value=206
	no=2, value=177
	no=3, value=218
	no=4, value=126
	no=5, value=474
BinType:3 cost=1092
	no=1, value=146
	no=2, value=467
	no=3, value=230
	no=4, value=252
	no=5, value=170
BinType:4 cost=1181
	no=1, value=317
	no=2, value=457
	no=3, value=121
	no=4, value=363
	no=5, value=242
BinType:5 cost=1211
	no=1, value=368
	no=2, value=275
	no=3, value=209
	no=4, value=171
	no=5, value=422
BinType:6 cost=1253
	no=1, value=468
	no=2, value=152
	no=3, value=190
	no=4, value=236
	no=5, value=274
BinType:7 cost=1278
	no=1, value=182
	no=2, value=494
	no=3, value=208
	no=4, value=428
	no=5, value=219
BinType:8 cost=1393
	no=1, value=431
	no=2, value=438
	no=3, value=190
	no=4, value=326
	no=5, value=276
BinType:9 cost=1397
	no=1, value=226
	no=2, value=255
	no=3, value=278
	no=4, value=412
	no=5, value=189
BinType:10 cost=1449
	no=1, value=495
	no=2, value=238
	no=3, value=207
	no=4, value=378
	no=5, value=157
BinType:11 cost=1466
	no=1, value=335
	no=2, value=133
	no=3, value=338
	no=4, value=173
	no=5, value=495
BinType:12 cost=1522
	no=1, value=305
	no=2, value=415
	no=3, value=309
	no=4, value=306
	no=5, value=273
BinType:13 cost=1538
	no=1, value=367
	no=2, value=197
	no=3, value=256
	no=4, value=480
	no=5, value=203
BinType:14 cost=1670
	no=1, value=295
	no=2, value=408
	no=3, value=401
	no=4, value=270
	no=5, value=104
BinType:15 cost=1698
	no=1, value=396
	no=2, value=303
	no=3, value=406
	no=4, value=181
	no=5, value=167
BinType:16 cost=1700
	no=1, value=247
	no=2, value=151
	no=3, value=406
	no=4, value=310
	no=5, value=415
BinType:17 cost=1715
	no=1, value=309
	no=2, value=278
	no=3, value=420
	no=4, value=198
	no=5, value=332
BinType:18 cost=1927
	no=1, value=390
	no=2, value=135
	no=3, value=397
	no=4, value=445
	no=5, value=345
BinType:19 cost=1938
	no=1, value=488
	no=2, value=189
	no=3, value=351
	no=4, value=451
	no=5, value=423
BinType:20 cost=2205
	no=1, value=468
	no=2, value=436
	no=3, value=492
	no=4, value=239
	no=5, value=398
Item: no=1
	no=1, value=72
	no=2, value=18
	no=3, value=42
	no=4, value=19
	no=5, value=37
Item: no=2
	no=1, value=22
	no=2, value=15
	no=3, value=93
	no=4, value=49
	no=5, value=39
Item: no=3
	no=1, value=49
	no=2, value=46
	no=3, value=20
	no=4, value=68
	no=5, value=94
Item: no=4
	no=1, value=5
	no=2, value=20
	no=3, value=6
	no=4, value=89
	no=5, value=93
Item: no=5
	no=1, value=43
	no=2, value=71
	no=3, value=22
	no=4, value=55
	no=5, value=6
Item: no=6
	no=1, value=86
	no=2, value=75
	no=3, value=9
	no=4, value=51
	no=5, value=34
Item: no=7
	no=1, value=96
	no=2, value=30
	no=3, value=97
	no=4, value=35
	no=5, value=91
Item: no=8
	no=1, value=45
	no=2, value=29
	no=3, value=27
	no=4, value=39
	no=5, value=33
Item: no=9
	no=1, value=15
	no=2, value=4
	no=3, value=60
	no=4, value=59
	no=5, value=83
Item: no=10
	no=1, value=56
	no=2, value=13
	no=3, value=45
	no=4, value=40
	no=5, value=18
Item: no=11
	no=1, value=66
	no=2, value=29
	no=3, value=66
	no=4, value=7
	no=5, value=38
Item: no=12
	no=1, value=68
	no=2, value=98
	no=3, value=59
	no=4, value=86
	no=5, value=64
Item: no=13
	no=1, value=68
	no=2, value=91
	no=3, value=36
	no=4, value=26
	no=5, value=11
Item: no=14
	no=1, value=55
	no=2, value=3
	no=3, value=94
	no=4, value=89
	no=5, value=43
Item: no=15
	no=1, value=99
	no=2, value=14
	no=3, value=52
	no=4, value=61
	no=5, value=76
Item: no=16
	no=1, value=40
	no=2, value=56
	no=3, value=35
	no=4, value=88
	no=5, value=35
Item: no=17
	no=1, value=93
	no=2, value=81
	no=3, value=34
	no=4, value=26
	no=5, value=56
Item: no=18
	no=1, value=89
	no=2, value=7
	no=3, value=67
	no=4, value=5
	no=5, value=86
Item: no=19
	no=1, value=88
	no=2, value=70
	no=3, value=91
	no=4, value=39
	no=5, value=90
Item: no=20
	no=1, value=33
	no=2, value=45
	no=3, value=95
	no=4, value=73
	no=5, value=58
Item: no=21
	no=1, value=89
	no=2, value=44
	no=3, value=19
	no=4, value=79
	no=5, value=74
Item: no=22
	no=1, value=46
	no=2, value=6
	no=3, value=14
	no=4, value=9
	no=5, value=62
Item: no=23
	no=1, value=46
	no=2, value=90
	no=3, value=60
	no=4, value=66
	no=5, value=66
Item: no=24
	no=1, value=88
	no=2, value=40
	no=3, value=45
	no=4, value=79
	no=5, value=80
Item: no=25
	no=1, value=58
	no=2, value=26
	no=3, value=75
	no=4, value=52
	no=5, value=80
Item: no=26
	no=1, value=9
	no=2, value=86
	no=3, value=46
	no=4, value=1
	no=5, value=26
Item: no=27
	no=1, value=19
	no=2, value=58
	no=3, value=31
	no=4, value=75
	no=5, value=97
Item: no=28
	no=1, value=79
	no=2, value=14
	no=3, value=54
	no=4, value=28
	no=5, value=7
Item: no=29
	no=1, value=60
	no=2, value=19
	no=3, value=16
	no=4, value=61
	no=5, value=42
Item: no=30
	no=1, value=22
	no=2, value=38
	no=3, value=35
	no=4, value=17
	no=5, value=37
Item: no=31
	no=1, value=75
	no=2, value=90
	no=3, value=74
	no=4, value=49
	no=5, value=58
Item: no=32
	no=1, value=6
	no=2, value=84
	no=3, value=41
	no=4, value=11
	no=5, value=24
Item: no=33
	no=1, value=71
	no=2, value=74
	no=3, value=51
	no=4, value=69
	no=5, value=28
Item: no=34
	no=1, value=39
	no=2, value=2
	no=3, value=24
	no=4, value=55
	no=5, value=96
Item: no=35
	no=1, value=86
	no=2, value=31
	no=3, value=63
	no=4, value=47
	no=5, value=36
Item: no=36
	no=1, value=46
	no=2, value=10
	no=3, value=85
	no=4, value=30
	no=5, value=42
Item: no=37
	no=1, value=38
	no=2, value=56
	no=3, value=88
	no=4, value=6
	no=5, value=95
Item: no=38
	no=1, value=7
	no=2, value=71
	no=3, value=92
	no=4, value=35
	no=5, value=42
Item: no=39
	no=1, value=10
	no=2, value=14
	no=3, value=90
	no=4, value=54
	no=5, value=1
Item: no=40
	no=1, value=84
	no=2, value=5
	no=3, value=96
	no=4, value=82
	no=5, value=66
Item: no=41
	no=1, value=91
	no=2, value=91
	no=3, value=11
	no=4, value=99
	no=5, value=10
Item: no=42
	no=1, value=11
	no=2, value=75
	no=3, value=30
	no=4, value=55
	no=5, value=35
Item: no=43
	no=1, value=55
	no=2, value=8
	no=3, value=33
	no=4, value=43
	no=5, value=13
Item: no=44
	no=1, value=54
	no=2, value=61
	no=3, value=31
	no=4, value=98
	no=5, value=60
Item: no=45
	no=1, value=70
	no=2, value=56
	no=3, value=34
	no=4, value=7
	no=5, value=9
Item: no=46
	no=1, value=17
	no=2, value=50
	no=3, value=84
	no=4, value=25
	no=5, value=3
Item: no=47
	no=1, value=16
	no=2, value=16
	no=3, value=5
	no=4, value=64
	no=5, value=59
Item: no=48
	no=1, value=62
	no=2, value=69
	no=3, value=83
	no=4, value=79
	no=5, value=53
Item: no=49
	no=1, value=87
	no=2, value=42
	no=3, value=8
	no=4, value=49
	no=5, value=40
Item: no=50
	no=1, value=30
	no=2, value=97
	no=3, value=6
	no=4, value=96
	no=5, value=55
Links between items
Link1: itemNo1=1, itemNo2=3, cost=22
Link2: itemNo1=1, itemNo2=11, cost=24
Link3: itemNo1=1, itemNo2=23, cost=93
Link4: itemNo1=1, itemNo2=26, cost=70
Link5: itemNo1=1, itemNo2=27, cost=94
Link6: itemNo1=1, itemNo2=28, cost=94
